Implement,GivenName,LastName,SamAccountName,Description,Mail,Password,PasswordNeverExpires,Enabled
Yes,Svc,BizTalk Development,svcBizTalk_DEV,BizTalk Development Service Account,biztalk_dev@contoso.com,Welcome123456,TRUE,TRUE
Yes,Svc,BizTalk Test,svcBizTalk_TST,BizTalk Test Service Account,biztalk_tst@contoso.com,Welcome123457,TRUE,TRUE
Yes,Svc,BizTalk Production,svcBizTalk_PRD,BizTalk Production Service Account,biztalk_prd@contoso.com,Welcome123458,TRUE,TRUE
Yes,Svc,EntSSO Development,svcEntSSO_DEV, Enterprise SSO Development Service Account,biztalk_dev@contoso.com,Welcome123456,TRUE,TRUE
Yes,Svc,EntSSO Test,svcEntSSO_TST, Enterprise SSO Test Service Account,biztalk_tst@contoso.com,Welcome123457,TRUE,TRUE
Yes,Svc,EntSSO Production,svcEntSSO_PRD, Enterprise SSO Production Service Account,biztalk_prd@contoso.com,Welcome123458,TRUE,TRUE
Yes,Svc,Sql,svcSQL,SQL Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
Yes,Svc,Reddis,svcReddis,Reddis Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
Yes,Svc,Utility1,svcUtility1,Utility1 Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
Yes,Svc,Utility2,svcUtility2,Utility2 Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
Yes,Svc,Utility3,svcUtility3,Utility3 Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
Yes,Svc,Utility4,svcUtiliy4,Utility4 Service Account,etc.alert@energytransfer.com,Welcome123456,TRUE,TRUE
